Symulacja
Labirynt:;labirynt 20x20.txt;Ilosc iteracji:;1000
hamsters;hamsters;gerbils;gerbils;mousedeer;mousedeer;mice;mice;rats;rats;
518;36;-47;24;34;-55;-757;-75;-613;-246;
-82;-141;-79;-40;-135;-445;-151;165;-179;22;
-147;146;-8;70;0;-1;-76;-2;838;-24;
-157;-277;-184;-276;-31;-61;-58;-524;22;-32;
-73;38;-376;19;-16;-451;-236;358;105;11;
296;32;-11;0;-363;29;-292;-920;30;-52;
-18;353;-106;-42;-175;-184;443;-24;-28;-168;
-267;-407;-148;-480;-159;-79;159;-73;149;-285;
157;99;-645;28;-613;-56;-96;9;-141;17;
602;5;-123;-147;-374;-382;77;-114;-222;-26;
-148;-174;-447;-453;101;-72;-25;-303;195;-65;
30;107;85;53;-16;-71;-84;-0;-15;172;
-28;322;-132;-50;-198;-172;-44;-84;-49;-35;
44;-576;30;-664;119;270;-466;344;197;80;
-250;491;-263;-262;-456;-613;-297;-76;-1;279;
20;78;23;21;-106;-92;-284;-952;248;-271;
-26;-180;-767;-62;-183;-570;197;358;-12;-210;
38;-36;-84;-50;-422;0;-72;-927;-210;-261;
454;-304;-375;0;538;-11;-427;-98;-1;-130;
32;-153;-16;-101;-391;43;44;-284;-236;189;
33;-100;-1;-599;215;184;67;243;578;216;
-84;103;-307;-318;-85;-146;-915;130;-225;-76;
-86;451;-351;-6;-154;0;-92;-124;-123;-8;
15;0;-111;-378;-8;-860;-79;150;-25;-122;
-447;166;-429;-446;-180;183;0;-124;171;4;
32;-184;-240;-187;-130;-145;-25;0;-330;-68;
474;37;-803;-811;-15;68;-91;35;-101;-31;
-160;-207;-31;-286;25;0;621;65;-73;670;
-10;-87;26;-682;-279;0;-79;0;5;-398;
-209;66;-635;-233;-585;402;-259;-59;340;411;
-61;-374;13;-51;-93;-59;0;27;437;-4;
-92;-57;-4;261;257;-41;-5;-6;-72;514;
-128;489;-190;22;-342;-76;-28;62;58;-294;
161;139;-69;-409;-407;-155;-234;-111;63;-59;
234;303;-310;-95;-90;-97;-245;-247;39;129;
-144;62;125;-146;-572;-63;-314;126;235;80;
-320;359;-479;-201;-197;-192;-180;-261;-319;-202;
141;738;-413;-11;15;-163;92;117;-208;-30;
-33;30;-79;-19;-205;-80;-127;-44;136;26;
234;49;-311;-291;-284;-283;-364;-198;-5;165;
62;-591;-486;-364;-246;-439;-93;463;-154;44;
177;375;-416;-24;0;-25;-99;-23;491;68;
-68;35;45;-50;987;-51;43;-250;-99;-135;
-25;-288;-329;-227;-56;-53;-516;-242;-413;103;
-189;178;-567;-15;-442;-224;-167;-275;-325;-292;
-155;-135;-462;-414;78;-88;170;-122;-12;501;
